timestamp,date_time,is_battery,current,voltage,battery_temperature,soc,is_heart_rate,hr,hr_conf,is_blood_oxygen,spo2,spo2_conf,is_ppg,green,red,infra_red,is_pressure,pressure,pressure_in_pa,is_skin_temperature,skin_temperature,is_ntc_temperature,ntc_temperature,is_skin_contact,skin_contact,is_accelerometer,acc_x,acc_y,acc_z,is_gyroscope,gyr_x,gyr_y,gyr_z,is_accelerometer_bosch,bosch_acc_x,bosch_acc_y,bosch_acc_z,is_gyroscope_bosch,bosch_gyr_x,bosch_gyr_y,bosch_gyr_z,is_sequence_number,seqno
1769081545981,1769081545981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-557,-588,4015,0,0,0,0,0,0
1769081545984,1769081545984,0,0,0,0,0,1,71,75,1,97,99,1,352500,12958,18890,0,0,0,0,0,0,0,0,0,1,-176,133,-971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545998,1769081545998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19972
1769081546000,1769081546000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,2,0,0,0
1769081546020,1769081546020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-554,-589,4014,0,0,0,0,1,19973
1769081546024,1769081546024,0,0,0,0,0,1,71,75,1,97,99,1,352439,12955,18889,0,0,0,0,0,0,0,1,3,1,-184,133,-974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081546040,1769081546040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,3,0,0,0
1769081546046,1769081546046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.457582473754883,1,26.994531631469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081546048,1769081546048,1,-13,3835,300,58.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081546049,1769081546049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19974
1769081546060,1769081546060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-552,-595,4014,0,0,0,0,0,0
1769081546064,1769081546064,0,0,0,0,0,1,71,75,1,97,99,1,352383,12956,18889,0,0,0,0,0,0,0,0,0,1,-169,126,-974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081546066,1769081546066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19975
1769081546080,1769081546080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1,0,0,0
1769081546086,1769081546086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19976
1769081546100,1769081546100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-556,-576,4020,0,0,0,0,0,0
1769081546102,1769081546102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19977
1769081546104,1769081546104,0,0,0,0,0,1,71,75,1,97,99,1,352336,12944,18887,0,0,0,0,0,0,0,0,0,1,-171,125,-975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081546120,1769081546120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-1,0,0
1769081546124,1769081546124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19978
